cod_variedad,cod_articulo,variedad,itbis_alt1,itbis_alt2,itbis_alt3,itbis_alt4
5150,61171,Gotas de oídos,0,0,0,0
5161,62311,Radiograma de cráneo,0,0,0,0
5170,104111,pag1o de mora por inscripción,0,0,0,0
5185,62111,Consulta medica reumatólogo,0,0,0,0
5205,122111,Servicios sexuales (prostitución),0,0,0,0
5209,105111,Inscripción en curso de desarrollo de redes,,10,,
5262,121121,Peeling corporal,,10,,
5280,61171,Medicamento para el higado,0,0,0,0
5281,104111,Reinscripción o reactivación de matrícula en la universidad,0,0,0,0
5302,62311,Examén de tina (piel),0,0,0,0
5377,11132,Maíz molido,,10,16,
5401,61311,Andador de adultos,0,0,0,0
5403,62311,Examen de Alergia,0,0,0,0
5404,61311,Férula ortopédica,0,0,0,0
5446,62311,Cultivo de faringe,0,0,0,0
5451,105111,Inscripción de curso de hotelería,,10,,
5452,105111,Cuota de curso de hotelería,,10,,
5487,62311,Análisis (Helicobacter Pylori),0,0,0,0
5489,61151,Aceite de bacalao,0,0,0,0
5491,105111,Cuota para estudio de la biblia,,10,,
5493,61171,Medicamento para oxigenar el cerebro,0,0,0,0
5567,11212,Asadura de pollo,0,0,16,0
5572,62311,Análisis PSA libre,0,0,0,0
5595,11222,Jamón Corriente,,10,16,
5596,94121,Cuota de cursos de artes marciales,,10,,
5599,11111,Pan dulce,0,0,16,0
5600,11213,Filete de cerdo,,10,16,
5616,61171,Medicamento para los riñones,0,0,0,0
5617,61311,Tapones (anti ruidos),0,0,0,0
5672,62311,Análisis de glucosa,0,0,0,0
5674,62311,Análisis de trombofilia,0,0,0,0
5675,62311,Análisis de Protrombina,0,0,0,0
5677,62111,Consulta de cirujano,0,0,0,0
5682,62311,Diálisis (tratamiento),0,0,0,0
5683,11211,Hueso de vaca,,10,16,
5691,93111,Figura de animales de juguetes,,10,,
5753,62311,Curva de lactosa (análisis),0,0,0,0
5775,44411,Servicio de limpieza de séptico,0,0,0,0
5776,61211,Botiquín,0,0,0,0
5779,105111,Curso de manualidades,,10,,
5780,105111,pag1o de materiales (curso de manualidades),,10,,
5784,61151,Vitamina B12,0,0,0,0
5790,11111,Pan de linaza,0,0,16,0
5801,121111,Servicio de pintado de uñas,,10,,
5834,11132,Avena integral,,10,16,
5842,11213,Escalopines de cerdo,,10,16,
5843,11212,Escalopines de pollo,0,0,16,0
5845,94121,Curso de natación,,10,,
5847,62311,Cultivo nasal,0,0,0,0
5873,94211,Entrada a eventos patronales,,10,,
5878,104111,pag1o de record de notas,0,0,0,0
5905,101121,pag1o por derecho a examen enseñanza primaria,0,0,0,0
5908,11621,Almendras,,10,16,
5914,11611,Granada (fruta),,10,16,
5926,94121,Servicio de juego de billar,,10,,
5931,11461,Huevo de guinea,0,0,16,0
5932,11111,Pan quimbo (rizo),0,0,16,0
5939,62311,Topografía craneal,0,0,0,0
5957,101121,Inscripción de educación especial,0,0,0,0
5958,11113,Tortilla de trigo,,10,16,
5959,11212,Muslo de pavo,,10,16,
5963,94121,Inscripción a cursos de béisbol,,10,,
5969,62311,Baciloscopia,0,0,0,0
5971,61171,Medicamentos para la artritis,0,0,0,0
6005,61171,Medicamentos para las nauseas,0,0,0,0
6012,11113,Pastelito de huevo,,10,16,
6030,11821,Jalao (dulce),18,10,16,16
6032,95121,Libros de preescolar,,10,,
6051,105111,"Simposio (conferencia, reunión profesionales)",,10,,
6060,93411,Vacuna para animales,,10,,
6062,62311,Calcio por colorimetría,0,0,0,0
6065,62311,Deshidrogenasa láctica,0,0,0,0
6068,11211,Costillas de res,,10,16,
6071,11311,Pescado loro,,10,16,
