cod_variedad,cod_articulo,cod_subclase,cod_clase,cod_subgrupo,cod_grupo
490,11831,,,,
491,11831,1183,118,11,1
492,11831,1183,118,11,1
493,11831,1183,118,11,1
494,11831,1183,118,11,1
496,11831,1183,118,11,1
497,11831,1183,118,11,1
498,11841,1184,118,11,1
499,11841,1184,118,11,1
500,11841,1184,118,11,1
501,11841,1184,118,11,1
502,11841,1184,118,11,1
503,11841,1184,118,11,1
506,11911,1191,119,11,1
507,11911,1191,119,11,1
509,11921,1192,119,11,1
511,11921,1192,119,11,1
512,11921,1192,119,11,1
513,11921,1192,119,11,1
514,11921,1192,119,11,1
515,11921,1192,119,11,1
517,11921,,,,
518,11921,1192,119,11,1
519,11921,1192,119,11,1
520,11921,1192,119,11,1
521,11921,1192,119,11,1
522,11921,1192,119,11,1
523,11921,1192,119,11,1
524,11921,1192,119,11,1
525,11921,1192,119,11,1
526,11921,,,,
527,11921,1192,119,11,1
528,11921,1192,119,11,1
529,11921,1192,119,11,1
530,11921,1192,119,11,1
532,11921,1192,119,11,1
533,11921,,,,
534,11921,1192,119,11,1
535,11921,1192,119,11,1
536,11921,1192,119,11,1
537,11921,1192,119,11,1
538,11921,,,,
539,11713,,,,
541,11931,1193,119,11,1
542,11931,1193,119,11,1
543,11931,,,,
544,11931,1193,119,11,1
545,11932,1193,119,11,1
546,11932,1193,119,11,1
547,11932,1193,119,11,1
548,11932,1193,119,11,1
549,11932,1193,119,11,1
550,11932,,,,
551,11932,1193,119,11,1
552,11932,1193,119,11,1
553,11932,1193,119,11,1
554,11932,1193,119,11,1
555,11932,1193,119,11,1
556,11932,1193,119,11,1
557,11932,,,,
558,11921,1192,119,11,1
559,11921,1192,119,11,1
560,11921,1192,119,11,1
561,11932,1193,119,11,1
562,11932,1193,119,11,1
563,11921,1192,119,11,1
565,11932,1193,119,11,1
566,11932,1193,119,11,1
567,11932,1193,119,11,1
569,11941,1194,119,11,1
571,11941,1194,119,11,1
572,11941,,,,
573,11941,1194,119,11,1
574,11941,1194,119,11,1
575,11941,1194,119,11,1
576,11941,1194,119,11,1
577,11941,,,,
578,11941,1194,119,11,1
579,11941,1194,119,11,1
580,11941,1194,119,11,1
581,12111,1211,121,12,1
582,12111,1211,121,12,1
583,12111,,,,
586,12131,1213,121,12,1
587,12131,1213,121,12,1
588,12211,1221,122,12,1
589,12211,1221,122,12,1
590,12211,1221,122,12,1
591,12211,1221,122,12,1
592,12211,1221,122,12,1
594,12221,1222,122,12,1
595,12221,1222,122,12,1
596,12221,1222,122,12,1
597,12231,1223,122,12,1
598,12231,1223,122,12,1
599,12231,1223,122,12,1
600,12231,1223,122,12,1
601,12231,,,,
602,12231,1223,122,12,1
603,12231,1223,122,12,1
604,12231,1223,122,12,1
605,12231,1223,122,12,1
606,12231,1223,122,12,1
607,12231,,,,
608,12231,1223,122,12,1
609,12231,1223,122,12,1
610,12231,1223,122,12,1
611,12231,1223,122,12,1
612,12231,1223,122,12,1
613,12231,1223,122,12,1
614,12231,1223,122,12,1
615,12231,1223,122,12,1
616,12231,1223,122,12,1
618,12231,1223,122,12,1
619,12231,1223,122,12,1
620,12231,1223,122,12,1
622,21111,2111,211,21,2
623,21111,2111,211,21,2
624,21111,2111,211,21,2
625,21111,2111,211,21,2
626,21111,,,,
627,21111,2111,211,21,2
628,21111,2111,211,21,2
629,21111,2111,211,21,2
630,21111,,,,
631,21111,,,,
632,21111,2111,211,21,2
633,21111,,,,
634,21111,2111,211,21,2
635,21111,2111,211,21,2
636,21111,2111,211,21,2
638,21211,2121,212,21,2
639,21211,2121,212,21,2
640,21211,2121,212,21,2
641,21211,2121,212,21,2
642,21211,2121,212,21,2
643,21211,2121,212,21,2
645,21311,2131,213,21,2
646,21311,2131,213,21,2
647,21311,2131,213,21,2
648,21311,2131,213,21,2
649,21311,2131,213,21,2
650,21311,2131,213,21,2
652,22111,2211,221,22,2
653,22111,2211,221,22,2
654,22111,2211,221,22,2
655,22111,2211,221,22,2
656,22111,2211,221,22,2
657,22111,2211,221,22,2
658,22111,2211,221,22,2
660,23111,2311,231,23,2
661,31111,3111,311,31,3
662,31111,,,,
663,31111,3111,311,31,3
664,31111,3111,311,31,3
665,31111,,,,
666,31111,3111,311,31,3
667,31111,3111,311,31,3
668,31111,3111,311,31,3
669,31111,3111,311,31,3
670,31111,3111,311,31,3
671,31111,3111,311,31,3
672,31111,3111,311,31,3
673,31111,3111,311,31,3
674,31111,,,,
677,31211,3121,312,31,3
678,31211,,,,
681,31212,3121,312,31,3
682,31212,,,,
684,31212,,,,
690,31212,3121,312,31,3
691,31212,,,,
692,31221,3122,312,31,3
703,31221,3122,312,31,3
708,31221,,,,
709,31222,3122,312,31,3
720,31222,3122,312,31,3
726,31222,3122,312,31,3
727,31223,3122,312,31,3
739,31223,3122,312,31,3
744,31223,3122,312,31,3
751,31231,,,,
752,31231,3123,312,31,3
753,31231,,,,
773,31232,,,,
779,31241,,,,
780,31251,3125,312,31,3
781,31251,3125,312,31,3
782,31251,3125,312,31,3
783,31251,3125,312,31,3
784,31251,3125,312,31,3
786,31251,3125,312,31,3
787,31251,3125,312,31,3
788,31251,3125,312,31,3
789,31251,,,,
790,31251,3125,312,31,3
791,31251,3125,312,31,3
792,31251,3125,312,31,3
793,31251,3125,312,31,3
794,31251,3125,312,31,3
795,31251,3125,312,31,3
796,31251,3125,312,31,3
797,31251,,,,
805,31261,,,,
810,31262,,,,
811,31262,3126,312,31,3
812,31262,,,,
813,31262,3126,312,31,3
821,31262,3126,312,31,3
822,31262,,,,
823,31271,3127,312,31,3
828,31271,3127,312,31,3
838,31281,,,,
848,31291,3129,312,31,3
849,31291,3129,312,31,3
850,31291,3129,312,31,3
851,31291,3129,312,31,3
